iter	Passed	Remaining
0	157	157646
1	159	79548
2	162	53857
3	163	40783
4	165	32858
5	166	27591
6	169	24018
7	171	21249
8	173	19054
9	175	17364
10	176	15897
11	178	14660
12	179	13602
13	180	12691
14	182	11956
15	183	11310
16	185	10723
17	186	10173
18	188	9739
19	189	9301
20	191	8912
21	192	8541
22	193	8201
23	193	7886
24	194	7596
25	196	7358
26	198	7162
27	199	6933
28	200	6719
29	201	6517
30	203	6348
31	204	6196
32	205	6034
33	206	5880
34	207	5732
35	209	5604
36	211	5498
37	212	5390
38	213	5272
39	215	5164
40	216	5072
41	218	4986
42	219	4886
43	220	4790
44	222	4715
45	223	4628
46	225	4564
47	226	4492
48	227	4422
49	229	4352
50	231	4308
51	233	4259
52	235	4216
53	237	4160
54	238	4098
55	240	4046
56	241	3997
57	242	3941
58	243	3885
59	245	3853
60	247	3808
61	248	3758
62	249	3714
63	250	3666
64	251	3622
65	252	3578
66	254	3546
67	255	3506
68	256	3466
69	258	3427
70	259	3394
71	261	3373
72	262	3336
73	263	3299
74	264	3262
75	266	3235
76	267	3202
77	269	3182
78	270	3153
79	271	3123
80	272	3093
81	273	3063
82	274	3028
83	276	3017
84	278	2992
85	279	2965
86	280	2939
87	281	2913
88	282	2887
89	283	2869
90	285	2848
91	286	2826
92	287	2808
93	288	2784
94	291	2775
95	292	2754
96	293	2733
97	294	2711
98	295	2688
99	296	2669
100	297	2648
101	299	2636
102	300	2617
103	301	2598
104	302	2577
105	303	2558
106	306	2555
107	307	2539
108	308	2523
109	309	2506
110	311	2492
111	314	2494
112	315	2478
113	316	2461
114	317	2445
115	319	2434
116	321	2427
117	322	2412
118	324	2400
119	325	2387
120	326	2372
121	327	2355
122	329	2348
123	331	2338
124	332	2324
125	333	2310
126	333	2295
127	335	2284
128	337	2276
129	338	2263
130	339	2249
131	340	2236
132	341	2223
133	341	2210
134	343	2198
135	345	2195
136	346	2184
137	347	2172
138	348	2159
139	350	2150
140	351	2143
141	352	2130
142	353	2119
143	354	2107
144	355	2095
145	356	2085
146	360	2093
147	361	2082
148	364	2079
149	365	2072
150	367	2063
151	367	2052
152	369	2044
153	370	2035
154	371	2025
155	372	2015
156	374	2011
157	376	2006
158	377	1997
159	378	1987
160	379	1976
161	380	1967
162	382	1966
163	384	1959
164	385	1949
165	386	1939
166	387	1930
167	387	1921
168	389	1915
169	390	1908
170	391	1899
171	392	1891
172	393	1882
173	394	1874
174	396	1870
175	398	1864
176	399	1857
177	400	1848
178	401	1843
179	403	1838
180	405	1835
181	406	1827
182	407	1820
183	409	1814
184	411	1810
185	412	1803
186	413	1795
187	414	1788
188	415	1781
189	416	1774
190	417	1769
191	419	1766
192	421	1763
193	422	1755
194	423	1748
195	424	1741
196	426	1738
197	428	1735
198	429	1728
199	430	1721
200	431	1714
201	432	1707
202	434	1705
203	435	1699
204	436	1694
205	437	1688
206	438	1681
207	440	1676
208	442	1673
209	443	1666
210	444	1660
211	444	1653
212	445	1647
213	447	1642
214	448	1636
215	449	1633
216	450	1627
217	451	1621
218	452	1614
219	455	1613
220	456	1609
221	457	1604
222	458	1598
223	460	1594
224	461	1588
225	463	1587
226	464	1582
227	465	1577
228	466	1571
229	467	1566
230	468	1560
231	471	1560
232	472	1555
233	473	1550
234	474	1544
235	475	1539
236	476	1533
237	477	1528
238	479	1525
239	480	1521
240	481	1515
241	482	1510
242	483	1505
243	484	1501
244	486	1497
245	486	1492
246	487	1487
247	488	1482
248	489	1477
249	490	1472
250	491	1467
251	492	1462
252	493	1458
253	494	1453
254	495	1448
255	496	1443
256	497	1439
257	498	1434
258	500	1430
259	501	1426
260	502	1423
261	503	1418
262	504	1413
263	505	1408
264	506	1403
265	507	1399
266	508	1395
267	509	1390
268	510	1386
269	511	1381
270	511	1377
271	512	1372
272	513	1367
273	515	1364
274	516	1360
275	517	1357
276	518	1353
277	519	1349
278	520	1344
279	521	1340
280	522	1336
281	523	1332
282	524	1327
283	524	1323
284	526	1319
285	526	1315
286	527	1310
287	528	1306
288	530	1305
289	531	1301
290	532	1297
291	533	1293
292	534	1289
293	535	1285
294	536	1281
295	537	1277
296	538	1274
297	539	1270
298	540	1266
299	541	1262
300	542	1258
301	542	1254
302	543	1251
303	545	1249
304	547	1247
305	548	1244
306	549	1240
307	550	1236
308	551	1232
309	552	1228
310	553	1225
311	554	1222
312	555	1218
313	556	1215
314	557	1212
315	558	1208
316	560	1206
317	561	1203
318	562	1201
319	563	1197
320	564	1194
321	565	1190
322	566	1187
323	567	1185
324	568	1181
325	569	1178
326	570	1175
327	571	1171
328	572	1168
329	574	1165
330	575	1163
331	577	1161
332	578	1159
333	579	1155
334	580	1152
335	581	1149
336	583	1147
337	584	1144
338	585	1141
339	586	1138
340	587	1134
341	588	1131
342	590	1130
343	591	1128
344	593	1126
345	594	1123
346	595	1119
347	595	1116
348	597	1113
349	598	1111
350	599	1108
351	600	1105
352	601	1102
353	602	1099
354	603	1095
355	604	1093
356	605	1091
357	607	1089
358	608	1086
359	609	1083
360	610	1080
361	611	1077
362	612	1075
363	613	1072
364	614	1069
365	615	1066
366	616	1063
367	617	1060
368	618	1058
369	620	1056
370	622	1055
371	623	1052
372	624	1049
373	625	1046
374	626	1044
375	627	1041
376	628	1038
377	629	1036
378	630	1033
379	631	1030
380	632	1027
381	633	1025
382	635	1023
383	637	1022
384	639	1020
385	640	1018
386	641	1015
387	642	1012
388	643	1010
389	644	1007
390	645	1005
391	646	1002
392	647	999
393	648	996
394	649	994
395	650	992
396	652	990
397	653	988
398	654	985
399	655	982
400	655	979
401	657	977
402	658	975
403	659	973
404	660	970
405	661	967
406	662	965
407	663	962
408	665	961
409	666	958
410	667	956
411	668	954
412	669	951
413	670	949
414	671	946
415	672	943
416	673	941
417	674	938
418	675	936
419	676	933
420	677	931
421	677	928
422	679	926
423	680	924
424	682	922
425	683	920
426	684	917
427	684	915
428	685	912
429	686	910
430	688	908
431	689	906
432	690	903
433	691	901
434	692	898
435	692	896
436	694	894
437	695	892
438	697	890
439	698	888
440	699	886
441	700	883
442	700	881
443	702	879
444	703	877
445	704	875
446	705	873
447	706	870
448	707	868
449	708	865
450	710	864
451	711	862
452	712	860
453	713	858
454	714	856
455	715	854
456	717	852
457	718	850
458	719	847
459	720	845
460	721	843
461	721	840
462	722	838
463	725	838
464	727	837
465	729	835
466	729	833
467	730	830
468	732	828
469	733	826
470	734	824
471	735	822
472	736	820
473	737	818
474	738	815
475	739	814
476	741	813
477	743	811
478	744	809
479	745	807
480	746	805
481	747	803
482	749	801
483	750	799
484	751	797
485	752	795
486	754	794
487	755	793
488	757	791
489	758	789
490	760	787
491	762	787
492	763	785
493	765	783
494	766	781
495	767	780
496	769	779
497	771	777
498	772	775
499	773	773
500	774	771
501	776	770
502	778	768
503	779	767
504	780	765
505	782	763
506	783	762
507	785	760
508	787	759
509	788	757
510	789	755
511	791	754
512	792	752
513	794	750
514	795	749
515	796	747
516	798	746
517	800	744
518	802	743
519	803	741
520	804	739
521	807	739
522	808	737
523	810	735
524	811	734
525	815	734
526	816	732
527	818	731
528	820	730
529	822	728
530	823	727
531	825	725
532	826	724
533	828	723
534	830	721
535	832	720
536	833	718
537	835	717
538	837	716
539	839	714
540	840	713
541	843	712
542	845	711
543	847	710
544	848	708
545	851	708
546	853	706
547	854	705
548	856	703
549	857	701
550	860	701
551	862	699
552	863	697
553	864	695
554	866	694
555	867	692
556	868	690
557	869	688
558	871	687
559	873	686
560	876	685
561	877	683
562	879	682
563	880	680
564	881	678
565	882	676
566	884	675
567	885	673
568	886	671
569	888	670
570	890	669
571	892	667
572	893	665
573	894	663
574	895	661
575	897	660
576	898	658
577	899	656
578	900	654
579	901	652
580	903	651
581	905	650
582	906	648
583	907	646
584	908	644
585	909	642
586	911	640
587	912	639
588	913	637
589	914	635
590	915	633
591	916	631
592	918	630
593	920	628
594	921	627
595	922	625
596	923	623
597	924	621
598	925	619
599	927	618
600	929	617
601	930	615
602	932	613
603	934	612
604	935	611
605	937	609
606	938	607
607	939	605
608	940	603
609	941	602
